GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2020-10-23,14423370,-78652923,2187360,14758728,75004928,-20967738
2020-10-22,14440079,-66709507,2640000,-1140767,79254928,-22414740
2020-10-21,14077487,-75922664,2640000,12181269,83125928,-24045829
2020-10-20,13984494,-87852858,2640000,15736460,79232928,-26131313
2020-10-19,14340582,-96183210,2640000,19212821,80303643,-27348617
2020-10-18,14545150,-66179684,2640000,-7960046,83328930,-23722828
2020-10-17,14616522,-64275495,2640000,-5707020,83564928,-23199182
2020-10-16,14467681,-81823109,2640000,11443005,84522928,-26246207
2020-10-15,14057398,-81865799,2640000,11902990,79092928,-28081151
2020-10-14,13931196,-74218913,2640000,-6256376,91108928,-26946286
2020-10-13,13615402,-74507766,2640000,-4444516,87443344,-26569480
2020-10-12,13286478,-79959161,2640000,6068987,78392928,-26307673
2020-10-11,14007249,-62702124,2640000,-19063936,84606928,-22953028
2020-10-10,14138178,-58008125,2640000,-23401304,92249928,-21867983
2020-10-09,14057790,-65549252,2640000,-67874,77668928,-23561603
2020-10-08,14517915,-64602400,2640000,-4619821,74999928,-25213716
2020-10-07,13548710,-61091566,2640000,4937180,69392928,-23786373
2020-10-06,13602230,-61431503,2640000,3360406,64304928,-24738259
2020-10-05,13576467,-61074349,2640000,650670,59408928,-24104363
2020-10-04,13770306,-49615320,2640000,-18057606,60224928,-21172217
2020-10-03,14168020,-39931863,2640000,-21084242,65004928,-19681282
2020-10-02,14036066,-56541079,2640000,-1059719,66656928,-23592242
2020-10-01,14129706,-66288810,2640000,8191977,64596428,-24401475
2020-09-30,13960040,-71770895,2640000,13670094,76340088,-23905067
2020-09-29,13536715,-75516037,2640000,1570490,65342088,-23156618
2020-09-28,13402480,-67727673,2640000,-1831293,64449088,-23023157
2020-09-27,13841812,-40061454,5880000,-20556259,64388088,-20174249
2020-09-26,13871606,-40407522,5880000,-18810558,65518088,-20550183
2020-09-25,14143042,-68031589,3600000,-4026116,72566088,-22375161
2020-09-24,13365847,-56276543,3360000,-8304805,68864088,-20093577
2020-09-23,13216677,-52113259,2400000,-13268530,67310088,-17745363
2020-09-22,12952615,-54022981,0,-5326988,76042088,-18038213
2020-09-21,12545262,-57370737,0,365465,61007088,-18891933
2020-09-20,13261651,-44742601,0,-9950267,58982088,-17623879
2020-09-19,13892434,-45295133,0,-7744673,58526088,-16781095
2020-09-18,13630047,-54069315,0,-1364569,66494088,-19884684
2020-09-17,13436929,-60449990,0,2298183,63434088,-22371614
2020-09-16,13182693,-49164410,0,-7669542,54950088,-22252284
2020-09-15,12876114,-50029111,0,-2664412,57542088,-20981875
2020-09-14,13157024,-48553450,0,-8958083,67078088,-21028379
2020-09-13,13398843,-42220274,0,-25399767,69694613,-21145171
2020-09-12,13714397,-42754638,0,-12437995,75986088,-21563916
2020-09-11,13628582,-53387778,0,2772701,68121088,-17523602
2020-09-10,12525219,-57080377,0,-2581866,63616088,-24742576
2020-09-09,12479244,-50751492,0,-9335589,74580088,-23929093
2020-09-08,12461303,-47281440,0,1222652,63686088,-23283926
2020-09-07,12832372,-54028575,0,7805645,58408088,-23180791
2020-09-06,12955740,-44147634,0,-4212061,52118088,-20924373
2020-09-05,13028511,-38951063,0,-10100461,56558088,-19944179
2020-09-04,13281301,-43200823,0,-1378560,54038088,-21442981
2020-09-03,13144324,-50511172,0,-366269,60734088,-22277169
2020-09-02,12961421,-49974430,0,7829402,54733760,-23468927
2020-09-01,11998083,-52437661,0,-4451573,59174052,-23869142
2020-08-31,12270580,-50292282,0,-9981545,69697584,-23465819
2020-08-30,12436027,-38616451,0,-30414597,75135584,-19005181
2020-08-29,12561717,-36323200,0,-31156049,76753584,-18387073
2020-08-28,12752608,-44766662,0,-24452699,72817584,-21365879
2020-08-27,12383603,-51514285,1680000,-13589220,68581584,-21352296
2020-08-26,12546802,-45258461,2400000,-19141039,64117584,-22280975
2020-08-25,12263095,-44579291,2160000,-10013337,58585584,-21843303
2020-08-24,12030449,-47904702,2640000,-24944175,67781584,-21414486
2020-08-23,12561820,-35335575,2640000,-35010400,67353584,-19301936
2020-08-22,13072916,-31273339,2640000,-33170504,68225584,-18159836
2020-08-21,12964552,-38624284,2640000,-25100034,71557584,-17431953
2020-08-20,12507503,-41404863,2640000,-31795406,72143584,-17283154
2020-08-19,12697361,-38859836,2640000,-25985219,69829584,-17493343
2020-08-18,12272874,-40514467,2640000,-26150547,72709584,-18708582
2020-08-17,12289017,-38959001,2640000,-28587782,66181584,-20916884
2020-08-16,12023387,-28847196,2640000,-29458527,62845584,-18368581
2020-08-15,12383561,-28113260,2640000,-28584300,62845584,-18068651
